index,w1,w5,q_max,bitline_min,temper,alter#
$DATA1,SOURCE='PrimeSim,HSPICE',VERSION='U-2023.03,linux6',PARAM_COUNT=3,.TITLE,'.include,'/home/taf27/hspice/libs/cmos_180nm_l49.lib''
index,w1,w5,q_max,bitline_min,temper,alter#
37,2.0000,10.0000,0.6451,9.325e-04,25.0000,1
38,3.0000,9.0000,0.5032,5.840e-05,25.0000,1
39,4.0000,8.0000,0.4078,8.163e-06,25.0000,1
40,5.0000,7.0000,0.3415,2.065e-06,25.0000,1
41,6.0000,6.0000,0.2931,8.330e-07,25.0000,1
42,7.0000,5.0000,0.2565,4.553e-07,25.0000,1
43,8.0000,4.0000,0.2278,2.825e-07,25.0000,1
44,9.0000,3.0000,0.2047,1.832e-07,25.0000,1
45,10.0000,2.0000,0.1858,1.073e-07,25.0000,1
46,2.0000,11.0000,0.6439,9.296e-04,25.0000,1
47,3.0000,10.0000,0.5025,5.861e-05,25.0000,1
48,4.0000,9.0000,0.4075,8.289e-06,25.0000,1
49,5.0000,8.0000,0.3413,2.157e-06,25.0000,1
50,6.0000,7.0000,0.2931,9.140e-07,25.0000,1
51,7.0000,6.0000,0.2564,5.572e-07,25.0000,1
52,8.0000,5.0000,0.2277,3.525e-07,25.0000,1
53,9.0000,4.0000,0.2047,2.398e-07,25.0000,1
54,10.0000,3.0000,0.1859,1.549e-07,25.0000,1
55,11.0000,2.0000,0.1701,9.534e-08,25.0000,1
56,2.0000,12.0000,0.6428,9.273e-04,25.0000,1
57,3.0000,11.0000,0.5020,5.907e-05,25.0000,1
58,4.0000,10.0000,0.4073,8.422e-06,25.0000,1
59,5.0000,9.0000,0.3413,2.263e-06,25.0000,1
60,6.0000,8.0000,0.2930,9.988e-07,25.0000,1
61,7.0000,7.0000,0.2564,6.280e-07,25.0000,1
62,8.0000,6.0000,0.2277,4.074e-07,25.0000,1
63,9.0000,5.0000,0.2047,2.837e-07,25.0000,1
64,10.0000,4.0000,0.1859,2.131e-07,25.0000,1
65,11.0000,3.0000,0.1701,1.382e-07,25.0000,1
66,12.0000,2.0000,0.1568,7.237e-08,25.0000,1
67,2.0000,13.0000,0.6420,9.255e-04,25.0000,1
68,3.0000,12.0000,0.5016,5.990e-05,25.0000,1
69,4.0000,11.0000,0.4072,8.453e-06,25.0000,1
70,5.0000,10.0000,0.3412,2.361e-06,25.0000,1
71,6.0000,9.0000,0.2930,1.078e-06,25.0000,1
72,7.0000,8.0000,0.2564,7.020e-07,25.0000,1
73,8.0000,7.0000,0.2277,4.649e-07,25.0000,1
74,9.0000,6.0000,0.2047,3.406e-07,25.0000,1
75,10.0000,5.0000,0.1859,2.441e-07,25.0000,1
76,11.0000,4.0000,0.1702,1.734e-07,25.0000,1
77,12.0000,3.0000,0.1568,1.159e-07,25.0000,1
78,13.0000,2.0000,0.1454,6.449e-08,25.0000,1
79,2.0000,14.0000,0.6413,9.243e-04,25.0000,1
80,3.0000,13.0000,0.5013,5.995e-05,25.0000,1
81,4.0000,12.0000,0.4070,8.582e-06,25.0000,1
82,5.0000,11.0000,0.3412,2.455e-06,25.0000,1
83,6.0000,10.0000,0.2930,1.160e-06,25.0000,1
84,7.0000,9.0000,0.2564,7.700e-07,25.0000,1
85,8.0000,8.0000,0.2277,5.286e-07,25.0000,1
86,9.0000,7.0000,0.2047,3.960e-07,25.0000,1
87,10.0000,6.0000,0.1859,2.941e-07,25.0000,1
88,11.0000,5.0000,0.1702,2.192e-07,25.0000,1
89,12.0000,4.0000,0.1569,1.594e-07,25.0000,1
90,13.0000,3.0000,0.1454,1.075e-07,25.0000,1
91,14.0000,2.0000,0.1355,5.686e-08,25.0000,1
92,2.0000,15.0000,0.6406,9.236e-04,25.0000,1
93,3.0000,14.0000,0.5010,6.000e-05,25.0000,1
94,4.0000,13.0000,0.4069,8.707e-06,25.0000,1
95,5.0000,12.0000,0.3411,2.573e-06,25.0000,1
